report_id,date,site,location,report_type,activity,report_text,sif_potential,sif_confidence,life_saving_rule,precursor,hazard,barrier,barrier_failure,priority
SYN-0001,2025-10-29,Geleki,Geleki — Tank Farm,Near Miss,Energy Isolation — pump maintenance,"During compressor servicing during the morning shift, incorrect isolation point. A valve was still connected to the live header. The condition created a credible potential for a fatal or permanently disabling event. The technician stopped work and isolated the equipment.",Yes,0.858,Verify isolation and zero energy,Isolation verification failure,unexpected energy release,Critical control,lockout/tagout not verified,High
SYN-0002,2025-02-03,Duliajan,Naharkatiya — Workshop,Hazard Report,Hot Work — grinding near the workshop,"During cutting a steel support during the morning shift, hot-work permit not displayed. Flammable vapour was detected during the task. The condition created a credible potential for a fatal or permanently disabling event. The fire watch raised the alarm and work was stopped.",Yes,0.956,Control ignition sources and combustible materials,Hot work control failure,ignition or flammable-material exposure,Critical control,combustibles not cleared from the work area,High
SYN-0003,2024-11-22,Bongaigaon,Bongaigaon — Main Gate,Hazard Report,Confined Space — inspection inside a vessel,"During cleaning a storage tank while preparing the job, rescue plan was not briefed. Oxygen readings fell below the safe limit. The condition created a credible potential for a fatal or permanently disabling event. The standby rescue team secured the area.",Yes,0.957,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,High
SYN-0004,2025-05-13,Bongaigaon,Naharkatiya — Main Gate,Safety Observation,Line of Fire — loosening a seized flange,"During handling a pressurized hose during the morning shift, spotter communication was unclear. The flange shifted suddenly toward the worker. The condition created a credible potential for a fatal or permanently disabling event. The lifting activity was paused for a new briefing.",Yes,0.848,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,spotter communication was unclear,High
SYN-0005,2024-09-20,Naharkatiya,Naharkatiya — Pipeline Corridor,Hazard Report,Working at Height — installing cable tray at height,"During repairing an elevated platform during a routine maintenance task, harness was not attached to an anchor. The platform moved while being accessed. The deviation was identified early, before anyone was exposed to serious harm. The supervisor arranged a scaffold inspection.",No,0.744,Protect yourself against falls from height,Fall protection gap,fall or dropped-object exposure,Critical control,scaffold inspection tag was missing,Medium
SYN-0006,2025-10-10,Digboi,Geleki — Tank Farm,Near Miss,Lifting Operations — loading a valve assembly,"During loading a valve assembly during the morning shift, lifting plan was not followed. The load passed over an occupied walkway. The condition created a credible potential for a fatal or permanently disabling event. The load was lowered to a safe position.",Yes,0.789,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,lifting plan was not followed,High
SYN-0007,2025-03-25,Naharkatiya,Bongaigaon — Workshop,Safety Observation,Driving / Vehicle Safety — driving between installations,"During reversing a service vehicle during a routine maintenance task, seat belt was not used. The driver lost control on a wet bend. The deviation was identified early, before anyone was exposed to serious harm. The vehicle was removed from service for inspection.",No,0.928,Drive defensively and use seat belts,Vehicle safety control gap,vehicle collision or load-shift exposure,Critical control,journey plan was not reviewed,Low
SYN-0008,2025-12-20,Duliajan,Digboi — Workshop,Near Miss,Confined Space — entry into a sump,"During cleaning a storage tank while preparing the job, entry permit was incomplete. Oxygen readings fell below the safe limit. The condition created a credible potential for a fatal or permanently disabling event. The entrant exited immediately and medical support was alerted.",Yes,0.87,Obtain authorization before entering a confined space,Confined-space control gap,atmospheric or rescue hazard,Critical control,rescue plan was not briefed,High
SYN-0009,2024-06-26,Digboi,Naharkatiya — Pipeline Corridor,Near Miss,Line of Fire — moving materials beside a pipe rack,"During handling a pressurized hose during a routine maintenance task, stored energy was not assessed. The hose whipped when the coupling released. The condition created a credible potential for a fatal or permanently disabling event. The lifting activity was paused for a new briefing.",Yes,0.786,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,spotter communication was unclear,High
SYN-0010,2025-04-28,Geleki,Duliajan — Tank Farm,Safety Observation,Lifting Operations — relocating a chemical drum,"During lifting a pump motor while preparing the job, lifting plan was not followed. The load tilted unexpectedly above the work crew. The condition created a credible potential for a fatal or permanently disabling event. The route was cleared and barricaded.",Yes,0.908,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,lifting plan was not followed,High
SYN-0011,2024-02-05,Bongaigaon,Digboi — Workshop,Hazard Report,Lifting Operations — loading a valve assembly,"During loading a valve assembly during the morning shift, lifting plan was not followed. The load tilted unexpectedly above the work crew. The deviation was identified early, before anyone was exposed to serious harm. The route was cleared and barricaded.",No,0.753,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,sling inspection was overdue,Low
SYN-0012,2024-03-10,Digboi,Naharkatiya — Pipeline Corridor,Safety Observation,Line of Fire — handling a pressurized hose,"During moving materials beside a pipe rack during a routine maintenance task, exclusion zone was not maintained. The hose whipped when the coupling released. The condition created a credible potential for a fatal or permanently disabling event. The lifting activity was paused for a new briefing.",Yes,0.836,Position yourself outside the line of fire,Line-of-fire exposure,stored-energy or moving-object exposure,Critical control,spotter communication was unclear,High
SYN-0013,2024-12-02,Digboi,Bongaigaon — Process Unit,Safety Observation,Lifting Operations — loading a valve assembly,"During lifting a pump motor during a routine maintenance task, personnel entered the suspended-load zone. The load passed over an occupied walkway. The deviation was identified early, before anyone was exposed to serious harm. The route was cleared and barricaded.",No,0.879,Plan and control lifting operations,Lifting control failure,suspended-load exposure,Critical control,personnel entered the suspended-load zone,Low
